timestamp,date,time,weekday,rank,summary,distance_km,duration_min,traffic_min,delay_min
2026-05-06T14:33:00.841765,2026-05-06,14:33,Wednesday,1,S Maryland Pkwy,13.1,19.8,22.0,2.2
2026-05-06T14:33:00.841765,2026-05-06,14:33,Wednesday,2,Bermuda Rd,14.49,21.6,23.1,1.6
2026-05-06T14:33:00.841765,2026-05-06,14:33,Wednesday,3,S Eastern Ave,13.57,23.1,25.0,2.0
2026-05-06T14:38:01.554832,2026-05-06,14:38,Wednesday,1,S Maryland Pkwy,13.1,19.8,21.9,2.1
2026-05-06T14:38:01.554832,2026-05-06,14:38,Wednesday,2,Bermuda Rd,14.49,21.6,23.0,1.5
2026-05-06T14:38:01.554832,2026-05-06,14:38,Wednesday,3,S Eastern Ave,13.57,23.1,25.2,2.1
2026-05-06T14:43:02.030042,2026-05-06,14:43,Wednesday,1,S Maryland Pkwy,13.1,19.8,21.8,1.9
2026-05-06T14:43:02.030042,2026-05-06,14:43,Wednesday,2,Bermuda Rd,14.49,21.6,22.8,1.2
2026-05-06T14:43:02.030042,2026-05-06,14:43,Wednesday,3,S Eastern Ave,13.57,23.1,24.8,1.8
2026-05-06T14:48:02.568578,2026-05-06,14:48,Wednesday,1,S Maryland Pkwy,13.1,19.8,21.7,1.9
2026-05-06T14:48:02.568578,2026-05-06,14:48,Wednesday,2,Bermuda Rd,14.49,21.6,22.9,1.4
2026-05-06T14:48:02.568578,2026-05-06,14:48,Wednesday,3,S Eastern Ave,13.57,23.1,25.2,2.1
2026-05-06T14:53:03.254062,2026-05-06,14:53,Wednesday,1,S Maryland Pkwy,13.1,19.8,21.9,2.1
2026-05-06T14:53:03.254062,2026-05-06,14:53,Wednesday,2,Bermuda Rd,14.49,21.6,23.0,1.4
2026-05-06T14:53:03.254062,2026-05-06,14:53,Wednesday,3,S Eastern Ave,13.57,23.1,25.1,2.1
2026-05-06T14:58:03.720708,2026-05-06,14:58,Wednesday,1,S Maryland Pkwy,13.1,19.8,22.1,2.2
2026-05-06T14:58:03.720708,2026-05-06,14:58,Wednesday,2,Bermuda Rd,14.49,21.6,22.9,1.4
2026-05-06T14:58:03.720708,2026-05-06,14:58,Wednesday,3,S Eastern Ave,13.57,23.1,25.0,2.0
2026-05-06T15:03:04.366469,2026-05-06,15:03,Wednesday,1,S Maryland Pkwy,13.1,19.8,22.4,2.6
2026-05-06T15:03:04.366469,2026-05-06,15:03,Wednesday,2,S Spencer St,12.65,19.9,23.3,3.4
2026-05-06T15:03:04.366469,2026-05-06,15:03,Wednesday,3,St Rose Pkwy,13.48,22.1,25.4,3.3
2026-05-06T15:08:04.934761,2026-05-06,15:08,Wednesday,1,Bermuda Rd,14.49,21.6,23.0,1.5
2026-05-06T15:08:04.934761,2026-05-06,15:08,Wednesday,2,S Maryland Pkwy,13.1,19.8,23.2,3.4
2026-05-06T15:08:04.934761,2026-05-06,15:08,Wednesday,3,S Eastern Ave,13.57,23.1,25.2,2.2
